Abies spectabilis
Achillea millefolium
Actinidia chinensis
Aesculus indica
Bauhinia variegata
Berberis aristata
Bistorta amplexicaulis
Camellia sinensis
Cannabis sativa
Carissa spinarum
Carya illinoinensis
Celtis australis
Chrysopogon zizanioides
Cinnamomum camphora
Citrus jambhiri
Citrus limon
Cymbopogon citratus
Dalbergia sissoo
Dendrocalamus strictus
Diospyros lotus
Diplazium esculentum
Duranta erecta
Embelia ribes
Emblica officinalis
Eucalyptus sp
Fagopyrum esculentum
Falconeria insignis
Ficus benjamina
Ficus javanica
Ficus palmata
Ficus roxburghii
Fragaria vesca
Ginkgo biloba
Gmelina arborea
Grevillea robusta
Indigofera sp
Jasminum nudiflorum
Juglans regia
Justicia adhatoda
Lagerstroemia indica
Lantana camara
Litchi chinensis
Malvaviscus penduliflorus
Morus nigra
Murraya koenigii
Musa  paradisiaca
Myrica esculenta
Nerium indicum
Ocimum kilimandscharicum
Olea paniculata
Pinus wallichiana
Platycladus orientalis
Poncirus trifolia
Prinsepia utilis
Prunus avium
Prunus domestica
Prunus sp
Pteridium aquilinum
Punica granatum
Quercus glauca
Rosa brunonii
Rosa sp
Rubus niveus
Rubus paniculata
Salix babylonica
Sapindus mukorossi
Schefflera actinophylla
Spiraea
Syzygium cumini
Taxodium distichum
Taxus baccata
Tecoma stans
Thymus linearis
Toona ciliata
Urtica dioica
Vitis vinifera
Withania somnifera
cedrus deodara
